年,部門名,部門別名目国内生産額（十億円）,部門別実質国内生産額（十億円）,部門別名目GDP（十億円）,部門別実質GDP（十億円）,部門別雇用者数（千人）
2000年,１．通信業,16729,12174,9207,5503,441
2000年,２．放送業,3307,3137,1418,1052,66
2000年,３．情報サービス業,14063,12848,8494,7911,977
2000年,４．インターネット附随サービス業,0,0,0,0,0
2000年,５．映像・音声・文字情報制作業,7699,8692,3356,4489,322
2000年,６．情報通信関連製造業,39087,20534,11473,-2010,1171
2000年,７．情報通信関連サービス業,21797,16623,10754,5729,855
2000年,８．情報通信関連建設業,1445,1568,729,828,123
2000年,９．研究,12499,11399,7928,7049,787
2001年,１．通信業,16911,13205,9229,6043,396
2001年,２．放送業,3392,3192,1475,1111,67
2001年,３．情報サービス業,15563,14466,9384,8891,981
2001年,４．インターネット附随サービス業,0,0,0,0,0
2001年,５．映像・音声・文字情報制作業,7669,8584,3349,4383,327
2001年,６．情報通信関連製造業,33598,18750,9418,-2224,1022
2001年,７．情報通信関連サービス業,21701,16907,10639,5873,894
2001年,８．情報通信関連建設業,1412,1549,695,797,98
2001年,９．研究,12711,11634,7876,7003,747
2002年,１．通信業,16911,13909,9165,6424,352
2002年,２．放送業,3419,3360,1511,1209,72
2002年,３．情報サービス業,16207,15318,9748,9398,981
2002年,４．インターネット附随サービス業,0,0,0,0,0
2002年,５．映像・音声・文字情報制作業,7564,8388,3298,4218,336
2002年,６．情報通信関連製造業,30261,18451,8265,-1440,926
2002年,７．情報通信関連サービス業,20704,16522,10166,5847,760
2002年,８．情報通信関連建設業,913,1014,439,508,74
2002年,９．研究,12732,11744,7703,6875,692
2003年,１．通信業,17178,14375,9276,6669,331
2003年,２．放送業,3495,3446,1566,1287,70
2003年,３．情報サービス業,16445,16012,9861,9800,969
2003年,４．インターネット附随サービス業,0,0,0,0,0
2003年,５．映像・音声・文字情報制作業,7524,8310,3285,4135,342
2003年,６．情報通信関連製造業,31450,20433,8314,-1223,909
2003年,７．情報通信関連サービス業,20054,16640,9650,6063,767
2003年,８．情報通信関連建設業,574,635,269,309,59
2003年,９．研究,12646,11758,7465,6690,693
2004年,１．通信業,16283,13632,8678,6216,303
2004年,２．放送業,3614,3472,1639,1345,70
2004年,３．情報サービス業,17018,16650,10183,10175,1029
2004年,４．インターネット附随サービス業,0,0,0,0,0
2004年,５．映像・音声・文字情報制作業,7676,8432,3348,4144,364
2004年,６．情報通信関連製造業,31529,21456,7990,-357,870
2004年,７．情報通信関連サービス業,20294,17229,9684,6525,784
2004年,８．情報通信関連建設業,443,481,202,227,45
2004年,９．研究,12978,12133,7471,6703,700
2005年,１．通信業,14607,11945,7964,5506,272
2005年,２．放送業,3678,3509,1687,1403,73
2005年,３．情報サービス業,17403,17125,10396,10452,1011
2005年,４．インターネット附随サービス業,1064,993,449,402,62
2005年,５．映像・音声・文字情報制作業,7752,8438,3389,4092,367
2005年,６．情報通信関連製造業,29967,21667,7229,805,820
2005年,７．情報通信関連サービス業,20393,17848,9596,7073,822
2005年,８．情報通信関連建設業,312,327,139,150,29
2005年,９．研究,13216,12414,7414,6654,702
2006年,１．通信業,15689,13361,8527,6249,284
2006年,２．放送業,3788,3588,1690,1429,73
2006年,３．情報サービス業,18028,17609,10775,10718,1050
2006年,４．インターネット附随サービス業,1115,1066,441,407,61
2006年,５．映像・音声・文字情報制作業,7566,8125,3229,3786,351
2006年,６．情報通信関連製造業,31360,24233,7644,1539,851
2006年,７．情報通信関連サービス業,19857,17661,9118,7029,800
2006年,８．情報通信関連建設業,246,248,113,117,22
2006年,９．研究,13603,12886,7708,7033,709
2007年,１．通信業,16775,14731,9085,7087,278
2007年,２．放送業,3937,3732,1714,1486,72
2007年,３．情報サービス業,18413,17932,11002,10870,1001
2007年,４．インターネット附随サービス業,1258,1238,464,443,61
2007年,５．映像・音声・文字情報制作業,7396,7827,3078,3498,339
2007年,６．情報通信関連製造業,31843,25676,7850,2388,889
2007年,７．情報通信関連サービス業,19637,17707,8809,7084,804
2007年,８．情報通信関連建設業,402,393,190,190,33
2007年,９．研究,14125,13468,8084,7484,710
2008年,１．通信業,16934,15254,9127,7527,295
2008年,２．放送業,3877,3731,1645,1478,70
2008年,３．情報サービス業,18828,18264,11238,11021,1072
2008年,４．インターネット附随サービス業,1407,1396,481,466,64
2008年,５．映像・音声・文字情報制作業,7152,7463,2903,3199,319
2008年,６．情報通信関連製造業,30391,25697,7614,3348,861
2008年,７．情報通信関連サービス業,17982,16633,7838,6672,784
2008年,８．情報通信関連建設業,377,361,184,179,30
2008年,９．研究,13911,13407,8040,7581,709
2009年,１．通信業,17350,16120,9184,8028,271
2009年,２．放送業,3837,3876,1591,1525,69
2009年,３．情報サービス業,17943,17746,10694,10653,1135
2009年,４．インターネット附随サービス業,1429,1331,451,413,66
2009年,５．映像・音声・文字情報制作業,6837,7002,2707,2877,293
2009年,６．情報通信関連製造業,23071,20510,5841,3335,795
2009年,７．情報通信関連サービス業,15425,14892,6636,6045,740
2009年,８．情報通信関連建設業,287,279,144,142,34
2009年,９．研究,12705,12275,7415,7062,713
2010年,１．通信業,17304,16943,9051,8566,260
2010年,２．放送業,3799,3829,1540,1512,67
2010年,３．情報サービス業,17376,17259,10324,10290,1081
2010年,４．インターネット附随サービス業,1627,1589,470,455,68
2010年,５．映像・音声・文字情報制作業,6540,6619,2522,2602,278
2010年,６．情報通信関連製造業,26025,24611,6645,5090,801
2010年,７．情報通信関連サービス業,15036,14905,6314,6081,711
2010年,８．情報通信関連建設業,250,242,129,126,30
2010年,９．研究,12084,11889,7121,6957,714
2011年,１．通信業,17669,17669,9192,9192,236
2011年,２．放送業,3561,3561,1417,1417,66
2011年,３．情報サービス業,16845,16845,9971,9971,1080
2011年,４．インターネット附随サービス業,1904,1904,500,500,72
2011年,５．映像・音声・文字情報制作業,6182,6182,2319,2319,260
2011年,６．情報通信関連製造業,22741,22741,5890,5890,793
2011年,７．情報通信関連サービス業,14143,14143,5767,5767,698
2011年,８．情報通信関連建設業,224,224,119,119,27
2011年,９．研究,12126,12126,7214,7214,717
2012年,１．通信業,16418,16400,8592,8547,246
2012年,２．放送業,3481,3442,1380,1343,67
2012年,３．情報サービス業,16820,16825,10006,9991,1092
2012年,４．インターネット附随サービス業,1935,1883,493,480,75
2012年,５．映像・音声・文字情報制作業,6304,6429,2382,2460,267
2012年,６．情報通信関連製造業,18198,19195,4633,5231,715
2012年,７．情報通信関連サービス業,14390,14674,5789,6059,693
2012年,８．情報通信関連建設業,229,233,122,126,28
2012年,９．研究,12134,12170,7213,7284,721
2013年,１．通信業,16278,16226,8514,8418,276
2013年,２．放送業,3953,3889,1530,1449,70
2013年,３．情報サービス業,17125,17220,10239,10259,1177
2013年,４．インターネット附随サービス業,2262,2215,559,548,87
2013年,５．映像・音声・文字情報制作業,6161,6390,2339,2488,265
2013年,６．情報通信関連製造業,17345,18709,4307,5306,699
2013年,７．情報通信関連サービス業,14294,14870,5741,6232,696
2013年,８．情報通信関連建設業,254,255,137,140,28
2013年,９．研究,12540,12578,7447,7571,723
2014年,１．通信業,16110,15556,8465,8074,300
2014年,２．放送業,4068,3952,1566,1446,67
2014年,３．情報サービス業,17528,17203,10532,10283,1178
2014年,４．インターネット附随サービス業,2608,2605,624,625,84
2014年,５．映像・音声・文字情報制作業,6168,6319,2353,2507,258
2014年,６．情報通信関連製造業,18584,20191,4500,5941,672
2014年,７．情報通信関連サービス業,14828,15055,5842,6320,676
2014年,８．情報通信関連建設業,195,191,106,107,27
2014年,９．研究,13790,13790,8182,8349,714
2015年,１．通信業,16667,17906,8388,9567,295
2015年,２．放送業,3991,3820,1605,1455,63
2015年,３．情報サービス業,17758,17435,10676,10463,1183
2015年,４．インターネット附随サービス業,3232,3211,846,828,86
2015年,５．映像・音声・文字情報制作業,5867,5828,2280,2265,244
2015年,６．情報通信関連製造業,19525,21476,4769,6258,647
2015年,７．情報通信関連サービス業,15033,14718,6177,6183,670
2015年,８．情報通信関連建設業,151,150,81,84,27
2015年,９．研究,14153,13621,8570,8161,736
2016年,１．通信業,17869,19605,8726,10303,312
2016年,２．放送業,4094,3860,1653,1427,63
2016年,３．情報サービス業,18041,17591,10801,10492,1200
2016年,４．インターネット附随サービス業,3494,3349,961,833,90
2016年,５．映像・音声・文字情報制作業,5878,5905,2294,2364,249
2016年,６．情報通信関連製造業,17833,20157,4546,5911,653
2016年,７．情報通信関連サービス業,15026,14669,6199,6200,671
2016年,８．情報通信関連建設業,167,164,93,92,27
2016年,９．研究,13335,12854,8243,7798,721
2017年,１．通信業,18340,20299,9050,10872,321
2017年,２．放送業,4085,3863,1641,1434,60
2017年,３．情報サービス業,18638,18050,11184,10789,1186
2017年,４．インターネット附随サービス業,3605,3558,967,934,94
2017年,５．映像・音声・文字情報制作業,5843,5864,2290,2356,247
2017年,６．情報通信関連製造業,18964,21175,4390,5960,661
2017年,７．情報通信関連サービス業,14712,14345,6044,6037,661
2017年,８．情報通信関連建設業,151,145,84,81,27
2017年,９．研究,13409,12861,8268,7829,722
2018年,１．通信業,18780,20743,9200,11075,335
2018年,２．放送業,4112,3931,1648,1495,63
2018年,３．情報サービス業,18990,18241,11364,10867,1179
2018年,４．インターネット附随サービス業,3725,3872,937,1088,100
2018年,５．映像・音声・文字情報制作業,5574,5563,2190,2263,240
2018年,６．情報通信関連製造業,19215,21388,4212,5983,669
2018年,７．情報通信関連サービス業,14738,14349,6127,6117,691
2018年,８．情報通信関連建設業,145,136,79,73,27
2018年,９．研究,13818,13136,8487,8018,741
