分野,年,国・地域,シェア(%)
IoT,2019年,日本,18.5
IoT,2018年,日本,22.3
IoT,2017年,日本,24.2
IoT,2016年,日本,26.6
IoT,2015年,日本,27
D4.スマートシティ,2019年,日本,9.9
D4.スマートシティ,2018年,日本,17.9
D4.スマートシティ,2017年,日本,19.7
D4.スマートシティ,2016年,日本,22.8
D4.スマートシティ,2015年,日本,23.9
D5.ヘルスケア,2019年,日本,25.8
D5.ヘルスケア,2018年,日本,27
D5.ヘルスケア,2017年,日本,28.9
D5.ヘルスケア,2016年,日本,29.5
D5.ヘルスケア,2015年,日本,30.7
D6.スマート工場,2019年,日本,35.4
D6.スマート工場,2018年,日本,35.6
D6.スマート工場,2017年,日本,37
D6.スマート工場,2016年,日本,36.6
D6.スマート工場,2015年,日本,34.4
D7.コネクテッドカー,2019年,日本,2
D7.コネクテッドカー,2018年,日本,2
D7.コネクテッドカー,2017年,日本,2.5
D7.コネクテッドカー,2016年,日本,3.4
D7.コネクテッドカー,2015年,日本,3.2
D8.スマートエネルギー,2019年,日本,12.2
D8.スマートエネルギー,2018年,日本,10.4
D8.スマートエネルギー,2017年,日本,13
D8.スマートエネルギー,2016年,日本,17.6
D8.スマートエネルギー,2015年,日本,18.4
ICT,2019年,日本,8.5
ICT,2018年,日本,8.7
ICT,2017年,日本,8.8
ICT,2016年,日本,8.8
ICT,2015年,日本,8.5
O.サービス/アプリケーション,2019年,日本,10.8
O.サービス/アプリケーション,2018年,日本,10.3
O.サービス/アプリケーション,2017年,日本,10
O.サービス/アプリケーション,2016年,日本,9.9
O.サービス/アプリケーション,2015年,日本,8.9
A.クラウド/データセンター,2019年,日本,2.5
A.クラウド/データセンター,2018年,日本,2.9
A.クラウド/データセンター,2017年,日本,3.3
A.クラウド/データセンター,2016年,日本,4.4
A.クラウド/データセンター,2015年,日本,4.8
B1.固定系ネットワーク機器,2019年,日本,2.9
B1.固定系ネットワーク機器,2018年,日本,2.7
B1.固定系ネットワーク機器,2017年,日本,3.3
B1.固定系ネットワーク機器,2016年,日本,3.6
B1.固定系ネットワーク機器,2015年,日本,4.5
B2.移動系ネットワーク機器,2019年,日本,2
B2.移動系ネットワーク機器,2018年,日本,2.6
B2.移動系ネットワーク機器,2017年,日本,3.9
B2.移動系ネットワーク機器,2016年,日本,4.2
B2.移動系ネットワーク機器,2015年,日本,3.3
C.キーデバイス,2019年,日本,23.6
C.キーデバイス,2018年,日本,22
C.キーデバイス,2017年,日本,23.4
C.キーデバイス,2016年,日本,23.8
C.キーデバイス,2015年,日本,24.1
D1.情報端末,2019年,日本,1.1
D1.情報端末,2018年,日本,1.2
D1.情報端末,2017年,日本,3.1
D1.情報端末,2016年,日本,3.8
D1.情報端末,2015年,日本,4.5
D2.家電・OA機器,2019年,日本,20.8
D2.家電・OA機器,2018年,日本,21
D2.家電・OA機器,2017年,日本,24
D2.家電・OA機器,2016年,日本,16.5
D2.家電・OA機器,2015年,日本,22.8
D3.情報デバイス,2019年,日本,6
D3.情報デバイス,2018年,日本,6.3
D3.情報デバイス,2017年,日本,6.2
D3.情報デバイス,2016年,日本,8.1
D3.情報デバイス,2015年,日本,8.3
IoT,2019年,米国,21.2
IoT,2018年,米国,19.2
IoT,2017年,米国,20.4
IoT,2016年,米国,20.9
IoT,2015年,米国,18.6
D4.スマートシティ,2019年,米国,22.5
D4.スマートシティ,2018年,米国,19.8
D4.スマートシティ,2017年,米国,22.2
D4.スマートシティ,2016年,米国,24.3
D4.スマートシティ,2015年,米国,21.1
D5.ヘルスケア,2019年,米国,30.1
D5.ヘルスケア,2018年,米国,30
D5.ヘルスケア,2017年,米国,29.8
D5.ヘルスケア,2016年,米国,26.6
D5.ヘルスケア,2015年,米国,24
D6.スマート工場,2019年,米国,11.7
D6.スマート工場,2018年,米国,9.4
D6.スマート工場,2017年,米国,9.5
D6.スマート工場,2016年,米国,9.7
D6.スマート工場,2015年,米国,10.8
D7.コネクテッドカー,2019年,米国,
D7.コネクテッドカー,2018年,米国,
D7.コネクテッドカー,2017年,米国,
D7.コネクテッドカー,2016年,米国,
D7.コネクテッドカー,2015年,米国,
D8.スマートエネルギー,2019年,米国,28.7
D8.スマートエネルギー,2018年,米国,29.1
D8.スマートエネルギー,2017年,米国,28.7
D8.スマートエネルギー,2016年,米国,28.7
D8.スマートエネルギー,2015年,米国,22.5
ICT,2019年,米国,37.6
ICT,2018年,米国,36.3
ICT,2017年,米国,36.9
ICT,2016年,米国,36.1
ICT,2015年,米国,34.4
O.サービス/アプリケーション,2019年,米国,31.1
O.サービス/アプリケーション,2018年,米国,30.2
O.サービス/アプリケーション,2017年,米国,30.3
O.サービス/アプリケーション,2016年,米国,30.2
O.サービス/アプリケーション,2015年,米国,29.1
A.クラウド/データセンター,2019年,米国,75.4
A.クラウド/データセンター,2018年,米国,74.6
A.クラウド/データセンター,2017年,米国,77.5
A.クラウド/データセンター,2016年,米国,75.5
A.クラウド/データセンター,2015年,米国,73.3
B1.固定系ネットワーク機器,2019年,米国,56.8
B1.固定系ネットワーク機器,2018年,米国,55.2
B1.固定系ネットワーク機器,2017年,米国,55.5
B1.固定系ネットワーク機器,2016年,米国,54.7
B1.固定系ネットワーク機器,2015年,米国,52.6
B2.移動系ネットワーク機器,2019年,米国,12.1
B2.移動系ネットワーク機器,2018年,米国,14.1
B2.移動系ネットワーク機器,2017年,米国,12.6
B2.移動系ネットワーク機器,2016年,米国,10.7
B2.移動系ネットワーク機器,2015年,米国,9.9
C.キーデバイス,2019年,米国,36.1
C.キーデバイス,2018年,米国,39.9
C.キーデバイス,2017年,米国,39
C.キーデバイス,2016年,米国,37.9
C.キーデバイス,2015年,米国,36.1
D1.情報端末,2019年,米国,44.6
D1.情報端末,2018年,米国,45.3
D1.情報端末,2017年,米国,48.8
D1.情報端末,2016年,米国,47.7
D1.情報端末,2015年,米国,46
D2.家電・OA機器,2019年,米国,3.3
D2.家電・OA機器,2018年,米国,3.9
D2.家電・OA機器,2017年,米国,4.8
D2.家電・OA機器,2016年,米国,5.1
D2.家電・OA機器,2015年,米国,6
D3.情報デバイス,2019年,米国,54.8
D3.情報デバイス,2018年,米国,54.9
D3.情報デバイス,2017年,米国,57.1
D3.情報デバイス,2016年,米国,56.7
D3.情報デバイス,2015年,米国,63.6
IoT,2019年,ドイツ,7.1
IoT,2018年,ドイツ,6.6
IoT,2017年,ドイツ,8
IoT,2016年,ドイツ,7.7
IoT,2015年,ドイツ,8.2
D4.スマートシティ,2019年,ドイツ,
D4.スマートシティ,2018年,ドイツ,3.2
D4.スマートシティ,2017年,ドイツ,3.9
D4.スマートシティ,2016年,ドイツ,3.5
D4.スマートシティ,2015年,ドイツ,4.2
D5.ヘルスケア,2019年,ドイツ,7.2
D5.ヘルスケア,2018年,ドイツ,7.2
D5.ヘルスケア,2017年,ドイツ,8.7
D5.ヘルスケア,2016年,ドイツ,9.9
D5.ヘルスケア,2015年,ドイツ,9.4
D6.スマート工場,2019年,ドイツ,14.5
D6.スマート工場,2018年,ドイツ,8.7
D6.スマート工場,2017年,ドイツ,12.5
D6.スマート工場,2016年,ドイツ,11.9
D6.スマート工場,2015年,ドイツ,12.2
D7.コネクテッドカー,2019年,ドイツ,
D7.コネクテッドカー,2018年,ドイツ,
D7.コネクテッドカー,2017年,ドイツ,
D7.コネクテッドカー,2016年,ドイツ,
D7.コネクテッドカー,2015年,ドイツ,
D8.スマートエネルギー,2019年,ドイツ,12.3
D8.スマートエネルギー,2018年,ドイツ,13.7
D8.スマートエネルギー,2017年,ドイツ,13.9
D8.スマートエネルギー,2016年,ドイツ,12.9
D8.スマートエネルギー,2015年,ドイツ,12.8
ICT,2019年,ドイツ,2.4
ICT,2018年,ドイツ,2.5
ICT,2017年,ドイツ,2.4
ICT,2016年,ドイツ,2.4
ICT,2015年,ドイツ,2.5
O.サービス/アプリケーション,2019年,ドイツ,2.8
O.サービス/アプリケーション,2018年,ドイツ,2.9
O.サービス/アプリケーション,2017年,ドイツ,3
O.サービス/アプリケーション,2016年,ドイツ,2.9
O.サービス/アプリケーション,2015年,ドイツ,3.1
A.クラウド/データセンター,2019年,ドイツ,4.7
A.クラウド/データセンター,2018年,ドイツ,4.9
A.クラウド/データセンター,2017年,ドイツ,4.9
A.クラウド/データセンター,2016年,ドイツ,5.4
A.クラウド/データセンター,2015年,ドイツ,8.9
B1.固定系ネットワーク機器,2019年,ドイツ,
B1.固定系ネットワーク機器,2018年,ドイツ,
B1.固定系ネットワーク機器,2017年,ドイツ,
B1.固定系ネットワーク機器,2016年,ドイツ,
B1.固定系ネットワーク機器,2015年,ドイツ,
B2.移動系ネットワーク機器,2019年,ドイツ,
B2.移動系ネットワーク機器,2018年,ドイツ,
B2.移動系ネットワーク機器,2017年,ドイツ,
B2.移動系ネットワーク機器,2016年,ドイツ,
B2.移動系ネットワーク機器,2015年,ドイツ,
C.キーデバイス,2019年,ドイツ,9.6
C.キーデバイス,2018年,ドイツ,9.6
C.キーデバイス,2017年,ドイツ,9.5
C.キーデバイス,2016年,ドイツ,9.6
C.キーデバイス,2015年,ドイツ,9.5
D1.情報端末,2019年,ドイツ,
D1.情報端末,2018年,ドイツ,
D1.情報端末,2017年,ドイツ,
D1.情報端末,2016年,ドイツ,
D1.情報端末,2015年,ドイツ,
D2.家電・OA機器,2019年,ドイツ,
D2.家電・OA機器,2018年,ドイツ,
D2.家電・OA機器,2017年,ドイツ,
D2.家電・OA機器,2016年,ドイツ,
D2.家電・OA機器,2015年,ドイツ,
D3.情報デバイス,2019年,ドイツ,
D3.情報デバイス,2018年,ドイツ,
D3.情報デバイス,2017年,ドイツ,
D3.情報デバイス,2016年,ドイツ,
D3.情報デバイス,2015年,ドイツ,
IoT,2019年,韓国,6.2
IoT,2018年,韓国,8.6
IoT,2017年,韓国,8.7
IoT,2016年,韓国,8.6
IoT,2015年,韓国,11.4
D4.スマートシティ,2019年,韓国,11.5
D4.スマートシティ,2018年,韓国,15.3
D4.スマートシティ,2017年,韓国,15.4
D4.スマートシティ,2016年,韓国,15.8
D4.スマートシティ,2015年,韓国,22.1
D5.ヘルスケア,2019年,韓国,4.5
D5.ヘルスケア,2018年,韓国,4.2
D5.ヘルスケア,2017年,韓国,3.8
D5.ヘルスケア,2016年,韓国,2.1
D5.ヘルスケア,2015年,韓国,3.6
D6.スマート工場,2019年,韓国,
D6.スマート工場,2018年,韓国,2.1
D6.スマート工場,2017年,韓国,2.3
D6.スマート工場,2016年,韓国,2.7
D6.スマート工場,2015年,韓国,2.1
D7.コネクテッドカー,2019年,韓国,
D7.コネクテッドカー,2018年,韓国,
D7.コネクテッドカー,2017年,韓国,
D7.コネクテッドカー,2016年,韓国,
D7.コネクテッドカー,2015年,韓国,
D8.スマートエネルギー,2019年,韓国,
D8.スマートエネルギー,2018年,韓国,
D8.スマートエネルギー,2017年,韓国,
D8.スマートエネルギー,2016年,韓国,
D8.スマートエネルギー,2015年,韓国,
ICT,2019年,韓国,6.4
ICT,2018年,韓国,6.1
ICT,2017年,韓国,6
ICT,2016年,韓国,6.3
ICT,2015年,韓国,6.7
O.サービス/アプリケーション,2019年,韓国,2
O.サービス/アプリケーション,2018年,韓国,2
O.サービス/アプリケーション,2017年,韓国,2.1
O.サービス/アプリケーション,2016年,韓国,2
O.サービス/アプリケーション,2015年,韓国,2
A.クラウド/データセンター,2019年,韓国,
A.クラウド/データセンター,2018年,韓国,
A.クラウド/データセンター,2017年,韓国,
A.クラウド/データセンター,2016年,韓国,
A.クラウド/データセンター,2015年,韓国,
B1.固定系ネットワーク機器,2019年,韓国,
B1.固定系ネットワーク機器,2018年,韓国,
B1.固定系ネットワーク機器,2017年,韓国,
B1.固定系ネットワーク機器,2016年,韓国,
B1.固定系ネットワーク機器,2015年,韓国,
B2.移動系ネットワーク機器,2019年,韓国,6.9
B2.移動系ネットワーク機器,2018年,韓国,3.6
B2.移動系ネットワーク機器,2017年,韓国,2.6
B2.移動系ネットワーク機器,2016年,韓国,2.9
B2.移動系ネットワーク機器,2015年,韓国,4.1
C.キーデバイス,2019年,韓国,4.5
C.キーデバイス,2018年,韓国,4
C.キーデバイス,2017年,韓国,4
C.キーデバイス,2016年,韓国,4.4
C.キーデバイス,2015年,韓国,4
D1.情報端末,2019年,韓国,18.1
D1.情報端末,2018年,韓国,17.2
D1.情報端末,2017年,韓国,17.6
D1.情報端末,2016年,韓国,18.7
D1.情報端末,2015年,韓国,18.3
D2.家電・OA機器,2019年,韓国,42.6
D2.家電・OA機器,2018年,韓国,40.3
D2.家電・OA機器,2017年,韓国,35
D2.家電・OA機器,2016年,韓国,40.3
D2.家電・OA機器,2015年,韓国,45.8
D3.情報デバイス,2019年,韓国,6.4
D3.情報デバイス,2018年,韓国,9.3
D3.情報デバイス,2017年,韓国,9.4
D3.情報デバイス,2016年,韓国,6.8
D3.情報デバイス,2015年,韓国,5.5
IoT,2019年,中国,23.3
IoT,2018年,中国,26.2
IoT,2017年,中国,21.1
IoT,2016年,中国,17.9
IoT,2015年,中国,17.3
D4.スマートシティ,2019年,中国,33.3
D4.スマートシティ,2018年,中国,38.4
D4.スマートシティ,2017年,中国,29.8
D4.スマートシティ,2016年,中国,23.6
D4.スマートシティ,2015年,中国,23.1
D5.ヘルスケア,2019年,中国,7.9
D5.ヘルスケア,2018年,中国,7.4
D5.ヘルスケア,2017年,中国,6.1
D5.ヘルスケア,2016年,中国,8.3
D5.ヘルスケア,2015年,中国,5.9
D6.スマート工場,2019年,中国,10.1
D6.スマート工場,2018年,中国,13.2
D6.スマート工場,2017年,中国,10.2
D6.スマート工場,2016年,中国,9.4
D6.スマート工場,2015年,中国,8.7
D7.コネクテッドカー,2019年,中国,40.5
D7.コネクテッドカー,2018年,中国,32
D7.コネクテッドカー,2017年,中国,25
D7.コネクテッドカー,2016年,中国,21
D7.コネクテッドカー,2015年,中国,13.2
D8.スマートエネルギー,2019年,中国,24.3
D8.スマートエネルギー,2018年,中国,21.2
D8.スマートエネルギー,2017年,中国,23.2
D8.スマートエネルギー,2016年,中国,23.8
D8.スマートエネルギー,2015年,中国,27.1
ICT,2019年,中国,15.6
ICT,2018年,中国,14.9
ICT,2017年,中国,14
ICT,2016年,中国,14.1
ICT,2015年,中国,13.5
O.サービス/アプリケーション,2019年,中国,10.6
O.サービス/アプリケーション,2018年,中国,10.9
O.サービス/アプリケーション,2017年,中国,10.5
O.サービス/アプリケーション,2016年,中国,10.8
O.サービス/アプリケーション,2015年,中国,11.1
A.クラウド/データセンター,2019年,中国,8
A.クラウド/データセンター,2018年,中国,7.5
A.クラウド/データセンター,2017年,中国,4.6
A.クラウド/データセンター,2016年,中国,4.7
A.クラウド/データセンター,2015年,中国,4.4
B1.固定系ネットワーク機器,2019年,中国,21.4
B1.固定系ネットワーク機器,2018年,中国,23.1
B1.固定系ネットワーク機器,2017年,中国,25
B1.固定系ネットワーク機器,2016年,中国,23.7
B1.固定系ネットワーク機器,2015年,中国,23.8
B2.移動系ネットワーク機器,2019年,中国,39.4
B2.移動系ネットワーク機器,2018年,中国,35.3
B2.移動系ネットワーク機器,2017年,中国,35.8
B2.移動系ネットワーク機器,2016年,中国,34.2
B2.移動系ネットワーク機器,2015年,中国,31.6
C.キーデバイス,2019年,中国,7.5
C.キーデバイス,2018年,中国,6.8
C.キーデバイス,2017年,中国,6.7
C.キーデバイス,2016年,中国,5.9
C.キーデバイス,2015年,中国,5
D1.情報端末,2019年,中国,29.8
D1.情報端末,2018年,中国,27.9
D1.情報端末,2017年,中国,23.7
D1.情報端末,2016年,中国,23.3
D1.情報端末,2015年,中国,20.4
D2.家電・OA機器,2019年,中国,30.4
D2.家電・OA機器,2018年,中国,28.1
D2.家電・OA機器,2017年,中国,30.5
D2.家電・OA機器,2016年,中国,31.2
D2.家電・OA機器,2015年,中国,25.4
D3.情報デバイス,2019年,中国,21.5
D3.情報デバイス,2018年,中国,19.2
D3.情報デバイス,2017年,中国,17
D3.情報デバイス,2016年,中国,12
D3.情報デバイス,2015年,中国,7.6
IoT,2019年,フランス,2
IoT,2018年,フランス,
IoT,2017年,フランス,
IoT,2016年,フランス,
IoT,2015年,フランス,
D4.スマートシティ,2019年,フランス,
D4.スマートシティ,2018年,フランス,
D4.スマートシティ,2017年,フランス,
D4.スマートシティ,2016年,フランス,
D4.スマートシティ,2015年,フランス,
D5.ヘルスケア,2019年,フランス,
D5.ヘルスケア,2018年,フランス,
D5.ヘルスケア,2017年,フランス,
D5.ヘルスケア,2016年,フランス,
D5.ヘルスケア,2015年,フランス,
D6.スマート工場,2019年,フランス,3.6
D6.スマート工場,2018年,フランス,
D6.スマート工場,2017年,フランス,
D6.スマート工場,2016年,フランス,
D6.スマート工場,2015年,フランス,
D7.コネクテッドカー,2019年,フランス,14
D7.コネクテッドカー,2018年,フランス,
D7.コネクテッドカー,2017年,フランス,
D7.コネクテッドカー,2016年,フランス,
D7.コネクテッドカー,2015年,フランス,
D8.スマートエネルギー,2019年,フランス,4.4
D8.スマートエネルギー,2018年,フランス,4
D8.スマートエネルギー,2017年,フランス,4.1
D8.スマートエネルギー,2016年,フランス,2.2
D8.スマートエネルギー,2015年,フランス,2
ICT,2019年,フランス,
ICT,2018年,フランス,
ICT,2017年,フランス,
ICT,2016年,フランス,
ICT,2015年,フランス,2
O.サービス/アプリケーション,2019年,フランス,2.3
O.サービス/アプリケーション,2018年,フランス,2.4
O.サービス/アプリケーション,2017年,フランス,2.4
O.サービス/アプリケーション,2016年,フランス,2.4
O.サービス/アプリケーション,2015年,フランス,2.4
A.クラウド/データセンター,2019年,フランス,
